"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",42.0555555555557,1.79624006739469,6.80816502523413,23.4131040270993,9.23751954201887e-08
"PolymerYes",-3.21111111111107,1.85046556188308,143.288365303087,-1.73529903893124,0.0848378400615983
"SpeciesM",-20.0422222222221,1.79236994733245,373.682136290287,-11.1819673455531,3.09955271960177e-25
"Year5 Months",-39.3118371953434,1.8026515473673,373.916732005747,-21.8077849003912,1.29086550024541e-68
"Year11 Months",-15.7143752653066,1.94937094839252,375.36740612331,-8.06125446686526,1.02098979575327e-14
"PolymerYes:SpeciesM",2.44222222222211,2.5347938883075,373.682136388021,0.963479608139974,0.335929958202616
"PolymerYes:Year5 Months",3.14119883373566,2.54928867523045,373.95925362381,1.23218639938912,0.218653627962665
"PolymerYes:Year11 Months",6.07496473810833,2.74704913444421,377.744108809444,2.21145106650502,0.0276027650246257
"SpeciesM:Year5 Months",19.2622844480222,2.83224742061444,378.963270898418,6.8010599313542,4.05905472615223e-11
"SpeciesM:Year11 Months",3.89347901546167,3.20245900630471,379.830670233583,1.21577794057521,0.224824598054592
"PolymerYes:SpeciesM:Year5 Months",-1.55064131017661,4.11292620219193,379.908695667658,-0.377016565322814,0.706371795725574
"PolymerYes:SpeciesM:Year11 Months",-5.314352669031,4.71972081544061,383.634909631233,-1.12598877705754,0.260874150199235
