"Species","Polymer","Year","Site","Mean_Height","SD_Height","N_Plants"
"G","No","0","Site 1",44.8,10.6348483769163,15
"G","No","0","Site 2",46.3,12.509710513951,15
"G","No","0","Site 3",35.0666666666667,8.07745245081877,15
"G","No","5 Months","Site 1",3.17857142857143,1.32443228559292,14
"G","No","5 Months","Site 2",2.26333333333333,1.03206911913237,15
"G","No","5 Months","Site 3",2.73333333333333,0.820859015793531,15
"G","No","11 Months","Site 1",27.125,16.4539647059745,12
"G","No","11 Months","Site 2",28.1818181818182,14.9604022794722,11
"G","No","11 Months","Site 3",23.85,10.129851375459,10
"G","Yes","0","Site 1",48,6.13828733675538,15
"G","Yes","0","Site 2",35.7333333333333,7.62951661702914,15
"G","Yes","0","Site 3",32.8,7.16838296170861,15
"G","Yes","5 Months","Site 1",2.80357142857143,1.00085814827429,14
"G","Yes","5 Months","Site 2",1.9,1.16419806856786,15
"G","Yes","5 Months","Site 3",3.2,1.44913767461894,15
"G","Yes","11 Months","Site 1",31.3333333333333,10.7520258838072,12
"G","Yes","11 Months","Site 2",26.6111111111111,17.3309293204695,9
"G","Yes","11 Months","Site 3",28.7692307692308,13.6223091908937,13
"M","No","0","Site 1",24.8666666666667,10.6761862282817,15
"M","No","0","Site 2",24.5333333333333,4.68076102888449,15
"M","No","0","Site 3",16.64,9.82277237560034,15
"M","No","5 Months","Site 1",0.8,1.13192314226718,9
"M","No","5 Months","Site 2",1.59166666666667,1.75653541571659,6
"M","No","5 Months","Site 3",3.4375,2.04306317642337,8
"M","No","11 Months","Site 1",7.6,1.34164078649987,5
"M","No","11 Months","Site 2",15.25,13.5431409453888,4
"M","No","11 Months","Site 3",8.33333333333333,3.15700279801375,6
"M","Yes","0","Site 1",22.5333333333333,3.99314889469928,15
"M","Yes","0","Site 2",23.4,8.10687538891703,15
"M","Yes","0","Site 3",17.8,8.69071754394143,15
"M","Yes","5 Months","Site 1",0.2,0.232379000772445,6
"M","Yes","5 Months","Site 2",4.21,4.45833489096546,5
"M","Yes","5 Months","Site 3",3.85714285714286,2.23073765292795,7
"M","Yes","11 Months","Site 1",10.5,NA,1
"M","Yes","11 Months","Site 2",12.8333333333333,3.3291640592397,3
"M","Yes","11 Months","Site 3",7.5,3.92640632979658,7
